LABEL	winner	mainColor	secondaryColor
Ādažu nov.	Latvijas Reģionu apvienība	#082642	#990000
Aizkraukles nov.	Latvijas attīstībai, Vidzemes partija	#000000	#000000
Alūksnes nov.	ZZS	#274e13	#274e13
Augšdaugavas nov.	Daugavpils novada partija	#ff6d01	#ff6d01
Balvu nov.	Latgales partija	#798aa6	#798aa6
Bauskas nov.	Nacionālā apvienība	#990000	#ff9900
Cēsu nov.	Jaunā Vienotība	#84de25	#84de25
Daugavpils	Sarauj, Latgale!	#082642	#b7b7b7
Dienvidkurzemes nov.	ZZS	#274e13	#274e13
Dobeles nov.	Latvijas Zemnieku savienība	#6aa84f	#fbbc04
Gulbenes nov.	Latvijas attīstībai	#000000	#000000
Jēkabpils nov.	Latvijas Zaļā partija	#6aa84f	#6aa84f
Jelgava	ZZS	#274e13	#274e13
Jelgavas nov.	ZZS	#274e13	#274e13
Jūrmala	Latvijas Zaļā partija	#6aa84f	#6aa84f
Ķekavas nov.	Jaunā Vienotība	#84de25	#84de25
Krāslavas nov.	ZZS	#274e13	#274e13
Kuldīgas nov.	Kuldīgas novadam	#990000	#b7b7b7
Liepāja	Liepājas partija	#444444	#444444
Limbažu nov.	Latvijas Reģionu apvienība	#082642	#990000
Līvānu nov.	Jaunā konservatīvā partija	#082642	#082642
Ludzas nov.	ZZS	#274e13	#274e13
Madonas nov.	ZZS, Latvijas Reģionu apvienība	#274e13	#274e13
Mārupes nov.	Latvijas attīstībai	#000000	#000000
Ogres nov.	Nacionālā apvienība, Latvijas Zemnieku savienība, Latvijas Zaļā partija	#990000	#ff9900
Olaines nov.	LSDSP	#990000	#274e13
Preiļu nov.	Latgales partija, Jaunā Vienotība, Latvijas attīstībai	#798aa6	#798aa6
Rēzekne	Latvija pirmajā vietā, Kopā Latvijai	#990000	#990000
Rēzeknes nov.	Jaunā Vienotība, Kustība Par!, Latgales partija, Jaunā konservatīvā partija	#84de25	#84de25
Rīga	Latvija pirmajā vietā	#990000	#990000
Ropažu nov.	Latvijas attīstībai, Nacionālā apvienība	#000000	#000000
Salaspils nov.	Jaunā Vienotība	#84de25	#84de25
Saldus nov.	Latvijas Zaļā partija	#6aa84f	#6aa84f
Saulkrastu nov.	Latvijas Reģionu apvienība	#082642	#990000
Siguldas nov.	Nacionālā apvienība, Latvijas Reģionu apvienība, Vidzemes partija, Jaunā konservatīvā partija	#990000	#ff9900
Smiltenes nov.	Nacionālā apvienība	#990000	#ff9900
Talsu nov.	Talsu novada attīstībai, Latvijas attīstībai	#000000	#000000
Tukuma nov.	Latvijas Reģionu apvienība	#082642	#990000
Valkas nov.	Vidzemes partija	#990000	#ff0000
Valmieras nov.	Valmierai un Vidzemei	#e69138	#e69138
Ventspils	Latvijai un Ventspilij	#0ad2a5	#0ad2a5
Ventspils nov.	Latvijas Reģionu apvienība	#082642	#990000
